GCF_000657255	NZ_KK325833
GCF_000657255	NZ_KK325834
GCF_000657255	NZ_KK325836
GCF_000657255	NZ_KK325837
GCF_000657255	NZ_KK325838
GCF_000657255	NZ_KK325840
GCF_000657255	NZ_KK325841
GCF_000657255	NZ_KK325845
GCF_000657255	NZ_KK325851
GCF_000657255	NZ_KK325861
GCF_000657275	NZ_KK325865
GCF_000657275	NZ_KK325866
GCF_000657275	NZ_KK325868
GCF_000657275	NZ_KK325869
GCF_000657275	NZ_KK325871
GCF_000657275	NZ_KK325873
GCF_000657275	NZ_KK325874
GCF_000657275	NZ_KK325875
GCF_000657275	NZ_KK325876
GCF_000657275	NZ_KK325878
GCF_000657275	NZ_KK325879
GCF_000657275	NZ_KK325880
GCF_000657275	NZ_KK325881
GCF_000657275	NZ_KK325884
GCF_000657275	NZ_KK325885
GCF_000657275	NZ_KK325887
GCF_000657275	NZ_KK325890
GCF_000657275	NZ_KK325892
GCF_000657275	NZ_KK325893
GCF_000657275	NZ_KK325894
GCF_000657275	NZ_KK325895
GCF_000657275	NZ_KK325897
GCF_000657275	NZ_KK325900
GCF_000657275	NZ_KK325901
GCF_000657275	NZ_KK325902
GCF_000657275	NZ_KK325904
GCF_000657275	NZ_KK325907
GCF_000657275	NZ_KK325911
GCF_000657275	NZ_KK325913
GCF_000657275	NZ_KK325914
GCF_000657275	NZ_KK325915
GCF_000657275	NZ_KK325918
GCF_000657275	NZ_KK325924
GCF_000657275	NZ_KK325927
GCF_000657275	NZ_KK325928
GCF_000657275	NZ_KK325931
GCF_000657275	NZ_KK325934
GCF_000657275	NZ_KK325938
GCF_000657275	NZ_KK325944
GCF_000657275	NZ_KK325948
GCF_000657275	NZ_KK325957
GCF_000657275	NZ_KK325965
GCF_000657275	NZ_KK325966
GCF_000657295	NZ_KK325968
GCF_000657295	NZ_KK325969
GCF_000657295	NZ_KK325970
GCF_000657295	NZ_KK325971
GCF_000657295	NZ_KK325972
GCF_000657295	NZ_KK325974
GCF_000657295	NZ_KK325975
GCF_000657295	NZ_KK325976
GCF_000657295	NZ_KK325977
GCF_000657295	NZ_KK325978
GCF_000657295	NZ_KK325979
GCF_000657295	NZ_KK325980
GCF_000657295	NZ_KK325981
GCF_000657295	NZ_KK325982
GCF_000657295	NZ_KK325984
GCF_000657295	NZ_KK325985
GCF_000657295	NZ_KK325989
GCF_000657295	NZ_KK325990
GCF_000657295	NZ_KK325991
GCF_000657295	NZ_KK325992
GCF_000657295	NZ_KK325993
GCF_000657295	NZ_KK325994
GCF_000657295	NZ_KK325995
GCF_000657295	NZ_KK325996
GCF_000657295	NZ_KK326000
GCF_000657295	NZ_KK326001
GCF_000657295	NZ_KK326004
GCF_000657315	NZ_KK326006
GCF_000657315	NZ_KK326007
GCF_000657315	NZ_KK326008
GCF_000657315	NZ_KK326009
GCF_000657315	NZ_KK326010
GCF_000657315	NZ_KK326011
GCF_000657315	NZ_KK326012
GCF_000657315	NZ_KK326013
GCF_000657315	NZ_KK326014
GCF_000657315	NZ_KK326016
GCF_000657315	NZ_KK326017
GCF_000657315	NZ_KK326018
GCF_000657315	NZ_KK326019
GCF_000657315	NZ_KK326020
GCF_000657315	NZ_KK326021
GCF_000657315	NZ_KK326022
GCF_000657315	NZ_KK326024
GCF_000657315	NZ_KK326025
GCF_000657315	NZ_KK326027
GCF_000657315	NZ_KK326028
GCF_000657315	NZ_KK326032
GCF_000657315	NZ_KK326033
GCF_000657315	NZ_KK326035
GCF_000657315	NZ_KK326036
GCF_000657315	NZ_KK326039
GCF_000657315	NZ_KK326041
GCF_000657315	NZ_KK326045
GCF_000657315	NZ_KK326047
GCF_000657315	NZ_KK326048
GCF_000657315	NZ_KK326049
GCF_000657315	NZ_KK326051
GCF_000657315	NZ_KK326052
GCF_000657315	NZ_KK326057
GCF_000657315	NZ_KK326058
GCF_000657355	NZ_KK326132
GCF_000657355	NZ_KK326133
GCF_000657355	NZ_KK326134
GCF_000657355	NZ_KK326137
GCF_000657355	NZ_KK326141
GCF_000657355	NZ_KK326150
GCF_000657355	NZ_KK326152
GCF_000657355	NZ_KK326158
GCF_000657355	NZ_KK326161
GCF_000657355	NZ_KK326162
GCF_000657355	NZ_KK326163
GCF_000657355	NZ_KK326165
GCF_000657355	NZ_KK326185
GCF_000657355	NZ_KK326187
GCF_000657355	NZ_KK326194
GCF_000657355	NZ_KK326200
GCF_000657355	NZ_KK326201
GCF_000657355	NZ_KK326203
GCF_000657355	NZ_KK326204
GCF_000657355	NZ_KK326206
GCF_000657355	NZ_KK326209
GCF_000657355	NZ_KK326210
GCF_000657355	NZ_KK326212
GCF_000657355	NZ_KK326220
GCF_000657355	NZ_KK326225
GCF_000657355	NZ_KK326229
GCF_000657355	NZ_KK326230
GCF_000657355	NZ_KK326236
GCF_000657355	NZ_KK326237
GCF_000657355	NZ_KK326241
GCF_000657355	NZ_KK326242
GCF_000657355	NZ_KK326243
GCF_000657355	NZ_KK326244
GCF_000657355	NZ_KK326249
GCF_000657355	NZ_KK326251
GCF_000657355	NZ_KK326256
GCF_000657355	NZ_KK326265
GCF_000657355	NZ_KK326267
GCF_000657355	NZ_KK326271
GCF_000657355	NZ_KK326279
GCF_000657355	NZ_KK326284
GCF_000657355	NZ_KK326286
GCF_000657355	NZ_KK326290
GCF_000657355	NZ_KK326292
GCF_000657355	NZ_KK326294
GCF_000657355	NZ_KK326295
GCF_000657355	NZ_KK326297
GCF_000657355	NZ_KK326299
GCF_000657355	NZ_KK326303
GCF_000657355	NZ_KK326306
GCF_000657355	NZ_KK326307
GCF_000657355	NZ_KK326309
GCF_000657355	NZ_KK326312
GCF_000657375	NZ_KK326313
GCF_000657375	NZ_KK326314
GCF_000657375	NZ_KK326315
GCF_000657375	NZ_KK326317
GCF_000657375	NZ_KK326318
GCF_000657375	NZ_KK326319
GCF_000657375	NZ_KK326320
GCF_000657375	NZ_KK326321
GCF_000657375	NZ_KK326323
GCF_000657375	NZ_KK326324
GCF_000657375	NZ_KK326326
GCF_000657375	NZ_KK326327
GCF_000657375	NZ_KK326328
GCF_000657375	NZ_KK326332
GCF_000657375	NZ_KK326334
GCF_000657375	NZ_KK326336
GCF_000657375	NZ_KK326337
GCF_000657375	NZ_KK326339
GCF_000657375	NZ_KK326342
GCF_000657375	NZ_KK326344
GCF_000657375	NZ_KK326345
GCF_000657375	NZ_KK326347
GCF_000657375	NZ_KK326348
GCF_000657375	NZ_KK326349
GCF_000657375	NZ_KK326352
GCF_000657375	NZ_KK326355
GCF_000657375	NZ_KK326359
GCF_000657375	NZ_KK326360
GCF_000657375	NZ_KK326362
GCF_000657375	NZ_KK326364
GCF_000657375	NZ_KK326367
GCF_000657375	NZ_KK326368
GCF_000657375	NZ_KK326370
GCF_000657375	NZ_KK326373
GCF_000657375	NZ_KK326376
GCF_000657375	NZ_KK326378
GCF_000657375	NZ_KK326379
GCF_000657375	NZ_KK326381
GCF_000657375	NZ_KK326387
GCF_000657375	NZ_KK326389
GCF_000657375	NZ_KK326392
GCF_000657375	NZ_KK326396
GCF_000657375	NZ_KK326397
GCF_000657375	NZ_KK326398
GCF_000657395	NZ_KK326402
GCF_000657395	NZ_KK326403
GCF_000657395	NZ_KK326404
GCF_000657395	NZ_KK326405
GCF_000657395	NZ_KK326407
GCF_000657395	NZ_KK326408
GCF_000657395	NZ_KK326409
GCF_000657395	NZ_KK326410
GCF_000657395	NZ_KK326411
GCF_000657395	NZ_KK326413
GCF_000657395	NZ_KK326414
GCF_000657395	NZ_KK326415
GCF_000657395	NZ_KK326418
GCF_000657395	NZ_KK326422
GCF_000657395	NZ_KK326425
GCF_000657395	NZ_KK326426
GCF_000657395	NZ_KK326427
GCF_000657395	NZ_KK326428
GCF_000657395	NZ_KK326431
GCF_000657395	NZ_KK326432
GCF_000657395	NZ_KK326435
GCF_000657395	NZ_KK326440
GCF_000657395	NZ_KK326441
GCF_000657395	NZ_KK326446
GCF_000657395	NZ_KK326447
GCF_000657395	NZ_KK326448
GCF_000657395	NZ_KK326450
GCF_000657395	NZ_KK326451
GCF_000657395	NZ_KK326453
GCF_000657395	NZ_KK326454
GCF_000657395	NZ_KK326456
GCF_000657395	NZ_KK326457
GCF_000657395	NZ_KK326460
